IDIndikator;skrIndikator;IDTer;nTer;IDVrPod;nVrPod;nPol;Vrednost;IDStatusPodatka;nStatusPodatka;IDStatusPoverljivosti;nStatusPoverljivosti;IDJedinicaMere;nJedinicaMere
18030802IND01;Пројекције становништва по општинама;70718;Лебане;1;Базна популација - процене становништва средином 2011.  године;Укупно;22010;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70726;"Лесковац ";1;Базна популација - процене становништва средином 2011.  године;Укупно;144370;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70815;Медвеђа;1;Базна популација - процене становништва средином 2011.  године;Укупно;7460;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;71226;Црна Трава;1;Базна популација - процене становништва средином 2011.  године;Укупно;1673;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70025;Алексинац;1;Базна популација - процене становништва средином 2011.  године;Укупно;51903;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70467;Гаџин Хан;1;Базна популација - процене становништва средином 2011.  године;Укупно;8415;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70513;Дољевац;1;Базна популација - процене становништва средином 2011.  године;Укупно;18482;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70823;Мерошина;1;Базна популација - процене становништва средином 2011.  године;Укупно;13954;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;71005;Ражањ;1;Базна популација - процене становништва средином 2011.  године;Укупно;9157;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;71064;Сврљиг;1;Базна популација - процене становништва средином 2011.  године;Укупно;14304;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;71285;Нишка Бања;1;Базна популација - процене становништва средином 2011.  године;Укупно;14690;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;71307;Пантелеј;1;Базна популација - процене становништва средином 2011.  године;Укупно;53393;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;71315;Црвени крст;1;Базна популација - процене становништва средином 2011.  године;Укупно;32353;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;71323;Палилула (Ниш);1;Базна популација - процене становништва средином 2011.  године;Укупно;73825;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;71331;Медијана;1;Базна популација - процене становништва средином 2011.  године;Укупно;86046;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70050;Бабушница;1;Базна популација - процене становништва средином 2011.  године;Укупно;12352;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70084;Бела Паланка;1;Базна популација - процене становништва средином 2011.  године;Укупно;12132;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70505;Димитровград;1;Базна популација - процене становништва средином 2011.  године;Укупно;10133;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70939;Пирот;1;Базна популација - процене становништва средином 2011.  године;Укупно;57997;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;70386;Велика Плана;1;Базна популација - процене становништва средином 2011.  године;Укупно;40906;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;71099;Смедерево;1;Базна популација - процене становништва средином 2011.  године;Укупно;108232;A;Коначан податак;F;Слободан за објављивање;;
18030802IND01;Пројекције становништва по општинама;71102;Смедеревска Паланка;1;Базна популација - процене становништва средином 2011.  године;Укупно;50359;A;Коначан податак;F;Слободан за објављивање;;
